Designator,Footprint,Quantity,Value,LCSC Part #
C1,0201,1,1uF,C1592
C2,CP_Radial_D10.0mm_P5.00mm,1,680uF,C323859
C3,CP_Radial_D6.3mm_P2.50mm,1,220uF,C43340
D1,D_SOD-123,1,D,C2102
D2,0201,1,Red LED,
J1,USB_C_Receptacle_Molex_105450-0101,1,USB_C_Receptacle_USB2.0_14P,C134092
J2,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",1,Screw_Terminal_01x02,C128027
"J3, J4",PinSocket_1x07_P2.54mm_Vertical,2,Conn_01x07_Socket,
J5,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x04_Pin,
J6,"TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal",1,Screw_Terminal_01x03,C128026
L1,IND_BOURNS_SRR1280,1,33uH,C2045204
Q1,TO-252-2,1,AOD4184A,
R1,0201,1,1K,
"R2, R4, R5",0201,3,10K,C15401
R3,0201,1,200R,C15401
U2,TO-263-5_TabPin3,1,LM2596S-5,
U3,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm,1,CH224K,
